factor,ic1,icir1,days,ic5,icir5,ic10,icir10,ic20,icir20
mf_cpv_price_volume_level_w20,-0.017997544746633728,-0.1191358171446803,1292,-0.018748102792428837,-0.12460514239069671,-0.017795979557065154,-0.11603265011773366,-0.02034935274023617,-0.13106682098751246
mf_cpv_dprice_dvolume_pp_w20,-0.03150224526524125,-0.1897146949042752,1292,-0.045735869042473454,-0.2837712188618468,-0.052031893872124854,-0.314476853352006,-0.06641151267134875,-0.4005406289970122
mf_cpv_dprice_dvolume_pm_w20,0.0221548777689106,0.17893020319519637,1292,0.031383581853219863,0.2543858742964014,0.03542708725502664,0.28825747500640686,0.045858759164205155,0.389342997431612
mf_cpv_dprice_dvolume_mp_w20,0.03475784672298325,0.17769260186866845,1292,0.050868046459937866,0.2628960122609646,0.059150514290275125,0.302500854111769,0.07560554086635946,0.3959800993205784
mf_cpv_dprice_dvolume_mm_w20,-0.03196408853380975,-0.19656883359695815,1292,-0.0413237046232639,-0.26363761690371706,-0.04733256948392434,-0.298765169767386,-0.060983241695440414,-0.3841302057887903
mf_cpv_dvolume_lead_dprice_pp_w20,-0.03305620834572721,-0.18809898917934165,1292,-0.048777806308273844,-0.28228534500278646,-0.05541073569649119,-0.3136386680358958,-0.07086946033775703,-0.41171797810742294
mf_cpv_dvolume_lead_dprice_pm_w20,0.03503612260921488,0.19126712356092082,1292,0.05186353862622023,0.2875038755161396,0.05839085587923154,0.31656848961764666,0.0724681370043226,0.39497765915467786
mf_cpv_dvolume_lead_dprice_mp_w20,0.031651560561645246,0.1927368343725446,1292,0.04663363535720066,0.2931320160317268,0.05398026001141752,0.3309031614144159,0.06790537805688364,0.4156560176035579
mf_cpv_dvolume_lead_dprice_mm_w20,-0.037033790334826164,-0.18964688797100793,1292,-0.05275229064926634,-0.2703434193533313,-0.060400311565682895,-0.3036495178994697,-0.07672835593157383,-0.3941484374844147
mf_volume_up_return_std,0.03473146794406935,0.21504796928141673,1292,0.04412426508037006,0.28307755162593673,0.04613311566856507,0.29269377838105903,0.059013358736749705,0.3733702329760904
mf_volume_up_positive_return_std,0.037480362702696494,0.22957926713326637,1292,0.04623043203155364,0.2892516918588988,0.04930918541422241,0.30677047964703574,0.06207916486736454,0.38502850453240284
mf_cpv_segment_std_w20,-0.01761568071311264,-0.1404986093107787,1292,-0.017766340132219845,-0.14026340856449787,-0.017548464305519967,-0.1436405590358445,-0.021069110039276452,-0.17887775488318788
mf_cpv_segment_last30_w20,-0.006501278065529579,-0.07021634779958175,1292,-0.010097541374786596,-0.11453829546998189,-0.015187239361991367,-0.16376230266008582,-0.018144607343074028,-0.19877376561380905
mf_high_price_vol_ratio_w20,-0.03235398635904354,-0.1610621911213928,1292,-0.04125690033658399,-0.20332245247217284,-0.04486679007106721,-0.2198568669839459,-0.054857844941202875,-0.2728399957293176
mf_low_price_vol_ratio_w20,0.0027942097145919327,0.019369433182958973,1292,-0.003475308674538447,-0.02516867988688388,-0.00781855058823354,-0.055839886470126644,-0.015567730917299676,-0.11395647872140863
mf_smart_q_pooled_b025_w10_p20,-0.02704414732690083,-0.21288662202063635,1292,-0.03718752859531279,-0.30083543780981853,-0.040891246451947964,-0.35363656932410614,-0.05082499414527555,-0.4264938350620159
mf_minute_amount_seasonality_return_corr_w20,-0.015439729004793082,-0.13035486381228412,1292,-0.0030257204216620035,-0.02515838423187074,0.000645524215391178,0.005666267804095866,-0.0012700146772523233,-0.011337166246222212
mf_amount_share_skewness,0.004758266808051485,0.05402432284837809,1292,0.006398124703324635,0.07435178788527728,0.01062277461035036,0.12370700591895571,0.015423137795993991,0.18590794378026998
mf_amount_share_kurtosis,0.005191385124023468,0.06299945867666856,1292,0.006783469957801129,0.08431952138019236,0.01108105394346359,0.1380684541442577,0.015445656575509356,0.19804065539248172
mf_return_volume_corr_w20,-0.012361234309199082,-0.08716557155897256,1292,-0.011733619021950794,-0.08854731574061338,-0.014197320161406764,-0.1093294319975444,-0.021109719521594374,-0.16846849464148422
mf_return_amount_corr_w20,-0.01233183396723963,-0.08691258398448862,1292,-0.01171795799787666,-0.08835419963035585,-0.01419428550564907,-0.10918592031604502,-0.02108928502874061,-0.1680576101767002
mf_price_dvolume_corr_w20,0.002253387872856266,0.026814193979688216,1292,0.002062980272433132,0.025188484243446378,-0.002148762068862398,-0.025986528694020173,-0.0051073054740215385,-0.06331431830623692
mf_return_damount_corr_w20,-0.013738402006138795,-0.09757365046739276,1292,-0.015120637145247223,-0.1158596014065059,-0.018191408529360863,-0.14335328385844223,-0.025260824854970495,-0.2056656750177727
mf_amihud_intraday_w20,0.018236933478817666,0.10406774658588494,1292,0.02984197021008692,0.17431466953939292,0.03701126500967269,0.21796395257741027,0.05135658910143803,0.315624956216699
mf_amount_periodicity_peak_share_w20,-0.010012822567908128,-0.12000636494350872,1292,-0.00940148624564583,-0.11493722178904907,-0.01182054175088024,-0.1447065018790298,-0.017789127361555655,-0.22164778974560362
mf_amount_periodicity_band_power_w20,0.001614746202837478,0.024902096496945383,1292,0.00023783248190082135,0.0037646734962275964,0.0013503144020219392,0.02198526257898608,0.003582392690410855,0.0569989308169343
mf_chip_return_bin_std,0.031055136856313295,0.1697871483292963,1292,0.040382607885334765,0.22559940952220406,0.04188951960963996,0.2310134028733119,0.05256075948485543,0.2949574116935019
mf_chip_return_bin_skewness,0.02556789387877617,0.15907790937372054,1292,0.03328687926817566,0.21086499517030216,0.03426383308680496,0.2146645843964304,0.04316157295682597,0.2746572901558168
mf_chip_return_bin_kurtosis,0.024282631306226043,0.15824217702486268,1292,0.03158068710316658,0.2090921111656402,0.032465939662072375,0.21276619598352878,0.04083117759413973,0.2715850759843942
mf_chip_top3_return_bin_share,0.027481294284832813,0.16072464606950812,1292,0.03756141733543062,0.22722157779394425,0.039277624711975344,0.2340394169798676,0.04895978795522489,0.3001513366566167
