factor,ic_mean,icir,top_bp,bot_bp,spread_bp,long_bp,short_bp
mf_smart_q_b010_w10_p20,0.011550116754045072,0.08595555372785868,2.631158998404142,-3.227098159416418,5.85825715782056,2.631158998404142,3.227098159416418
mf_smart_q_b025_w10_p20,0.012329273841799784,0.09153836316568283,2.6250228502692567,-3.4961496069447215,6.121172457213978,2.6250228502692567,3.4961496069447215
mf_smart_q_b050_w10_p20,0.013089697248014301,0.10136126456631091,2.1999406141324074,-3.6582441139335433,5.858184728065951,2.1999406141324074,3.6582441139335433
mf_smart_q_logv_w10_p20,0.01155214919010505,0.08604663919324419,2.522634980059115,-3.333328312156803,5.855963292215918,2.522634980059115,3.333328312156803
mf_smart_q_b025_w10_p15,0.012317690858780306,0.09164658951384447,2.1995486517821288,-3.425153776613832,5.62470242839596,2.1995486517821288,3.425153776613832
mf_close_to_vwap,-0.02508712391245038,-0.1447610919573532,-7.123155918492707,5.230828998699345,-12.353984917192053,-5.230828998699345,-7.123155918492707
mf_tail30_return,-0.026843233671664957,-0.21771565490803108,-8.72971384546181,6.07347406017742,-14.803187905639229,-6.07347406017742,-8.72971384546181
mf_tail30_amount_share,0.0013897456768906726,0.014362979749840432,-4.423245619126539,4.206481863240382,-8.629727482366922,-4.423245619126539,-4.206481863240382
mf_tail30_vwap_to_day_vwap,-0.01665715298226536,-0.09517460358847656,-5.181429851573546,3.6173618239461485,-8.798791675519695,-3.6173618239461485,-5.181429851573546
mf_pm_minus_am_return,-0.00011055251432863024,-0.0007109993723275047,-1.340539718156227,2.3162994968344823,-3.6568392149907094,-2.3162994968344823,-1.340539718156227
mf_realized_volatility,-0.026587897666089853,-0.16536008525996934,0.21021441098335583,-1.8865098639731313,2.096724274956487,1.8865098639731313,0.21021441098335583
mf_downside_semivariance_ratio,0.022346038886862433,0.16972455524953334,1.8815769978180144,-3.2993575614681054,5.18093455928612,1.8815769978180144,3.2993575614681054
mf_realized_skewness,-0.015438829014934173,-0.14486519424734265,-1.3697500469569148,0.3048270182348584,-1.6745770651917735,-0.3048270182348584,-1.3697500469569148
mf_realized_kurtosis,-0.028631378080433825,-0.22137895390139783,-1.289143652056853,2.062508577733051,-3.351652229789904,-2.062508577733051,-1.289143652056853
mf_trend_efficiency,-0.011494456079187606,-0.10078263378853715,-0.9935229348158447,0.1078882959004653,-1.10141123071631,-0.1078882959004653,-0.9935229348158447
mf_max_intraday_drawdown,0.026864689069263318,0.13069667599772244,-1.4360218606545148,2.0577127621662488,-3.4937346228207637,-1.4360218606545148,-2.0577127621662488
mf_amount_hhi,0.008609343625255414,0.06435857009823492,1.4231663622530826,-0.6288488470719504,2.052015209325033,1.4231663622530826,0.6288488470719504
mf_amount_entropy,-0.010239142100862561,-0.07176879518649405,-1.0849974773016264,1.6419549995552383,-2.7269524768568645,-1.6419549995552383,-1.0849974773016264
mf_top10bar_amount_share,0.007446912582882942,0.0581239087005209,1.2207162813697783,-0.9031013860492532,2.1238176674190314,1.2207162813697783,0.9031013860492532
mf_tail30_amount_z20,-0.007576220740033289,-0.089307117657115,-4.304879330236612,3.3267246245897417,-7.631603954826353,-3.3267246245897417,-4.304879330236612
mf_amount_curve_rmse_w20,0.015036439597791164,0.09534896510818998,0.9869363150595519,-0.3068572738266853,1.2937935888862373,0.9869363150595519,0.3068572738266853
mf_price_impact_b050,-0.012957992885412897,-0.0853368680572261,-0.42170838947042216,-1.529648765184454,1.1079403757140318,1.529648765184454,-0.42170838947042216
mf_return_amount_corr,-0.015440835785857053,-0.11817811917909507,-1.0101731350226284,1.0550404088328456,-2.065213543855474,-1.0550404088328456,-1.0101731350226284
mf_five_minute_amount_excess_w20,-0.0037530280740223796,-0.04208200151436234,0.23087679158858856,-0.5040687824434723,0.7349455740320608,0.5040687824434723,0.23087679158858856
